Time,ax,ay,AngleZ
 08:58:06.422,0.002,-0.002,-95.3613
 08:58:06.520,0.002,-0.0015,-95.3613
 08:58:06.616,0.002,-0.002,-95.3613
 08:58:06.725,0.002,-0.002,-95.3613
 08:58:06.806,0.002,-0.002,-95.3613
 08:58:06.901,0.002,-0.002,-95.3613
 08:58:07.000,0.002,-0.002,-95.3613
 08:58:07.114,0.002,-0.002,-95.3613
 08:58:07.208,0.002,-0.002,-95.3613
 08:58:07.302,0.002,-0.0015,-95.3613
 08:58:07.403,0.002,-0.0015,-95.3613
 08:58:07.511,0.002,-0.002,-95.3613
 08:58:07.611,0.002,-0.002,-95.3613
 08:58:07.701,0.002,-0.002,-95.3613
 08:58:07.810,0.0024,-0.002,-95.3613
 08:58:07.907,0.0024,-0.002,-95.3613
 08:58:08.010,0.002,-0.002,-95.3613
 08:58:08.109,0.002,-0.002,-95.3613
 08:58:08.209,0.002,-0.0015,-95.3613
 08:58:08.304,0.002,-0.002,-95.3613
 08:58:08.402,0.002,-0.002,-95.3613
 08:58:08.512,0.0024,-0.002,-95.3613
 08:58:08.617,0.002,-0.002,-95.3613
 08:58:08.703,0.002,-0.002,-95.3613
 08:58:08.841,0.002,-0.002,-95.3613
 08:58:08.911,0.002,-0.0015,-95.3613
 08:58:09.004,0.002,-0.002,-95.3613
 08:58:09.111,0.002,-0.002,-95.3613
 08:58:09.221,0.002,-0.0015,-95.3613
 08:58:09.304,0.002,-0.002,-95.3613
 08:58:09.436,0.002,-0.002,-95.3613
 08:58:09.504,0.002,-0.002,-95.3613
 08:58:09.606,0.002,-0.002,-95.3613
 08:58:09.704,0.002,-0.002,-95.3613
 08:58:09.813,0.002,-0.002,-95.3613
 08:58:09.909,0.002,-0.002,-95.3613
 08:58:10.034,0.002,-0.002,-95.3613
 08:58:10.105,0.002,-0.002,-95.3613
 08:58:10.209,0.002,-0.002,-95.3613
 08:58:10.307,0.0015,-0.002,-95.3613
 08:58:10.412,0.0024,-0.0015,-95.3613
 08:58:10.505,0.0083,-0.001,-95.3613
 08:58:10.616,0.0029,-0.0039,-95.3613
 08:58:10.706,0,0.001,-95.3613
 08:58:10.806,-0.0015,-0.0015,-95.3613
 08:58:10.907,0.0005,-0.0005,-95.3613
 08:58:11.007,0.0029,-0.0063,-95.3613
 08:58:11.102,0.0034,-0.0005,-95.3613
 08:58:11.198,0.001,-0.001,-95.3613
 08:58:11.296,0.0029,-0.0024,-95.3613
 08:58:11.405,0.0093,0.001,-95.3613
 08:58:11.505,0.0249,-0.0029,-95.3613
 08:58:11.601,0.0303,0,-95.3613
 08:58:11.698,0.0337,0,-95.3613
 08:58:11.792,0.0391,-0.001,-95.3613
 08:58:11.896,0.0269,-0.0024,-95.3613
 08:58:11.990,0.0146,0,-95.3613
 08:58:12.094,0.0122,-0.001,-95.3613
 08:58:12.192,0.0156,0,-95.3613
 08:58:12.296,0.0059,-0.0024,-95.3613
 08:58:12.393,0.0239,0.0015,-95.3613
 08:58:12.502,0.0293,0.0029,-95.3613
 08:58:12.595,0.0303,0,-95.3613
 08:58:12.696,0.019,-0.0015,-95.3613
 08:58:12.790,0.0347,0,-95.3613
 08:58:12.894,0.0537,0,-95.3613
 08:58:12.989,0.0347,-0.001,-95.3613
 08:58:13.104,0.0361,0.0044,-95.3613
 08:58:13.192,0.0332,0.0034,-95.3613
 08:58:13.298,0.0352,-0.0015,-95.3613
 08:58:13.393,0.0532,0.0029,-95.3613
 08:58:13.501,0.0542,-0.002,-95.3613
 08:58:13.595,0.0342,-0.001,-95.3613
 08:58:13.705,0.0469,0.0034,-95.3613
 08:58:13.787,0.0278,-0.0015,-95.3613
 08:58:13.913,0.0181,-0.0024,-95.3613
 08:58:13.993,0.0229,0.002,-95.3613
 08:58:14.099,0.0264,0.0005,-95.3613
 08:58:14.189,0.0059,-0.0039,-95.3613
 08:58:14.315,0.0127,-0.002,-95.3613
 08:58:14.396,0.0186,0,-95.3613
 08:58:14.491,0.0132,-0.0049,-95.3613
 08:58:14.593,0.0234,-0.0024,-95.3613
 08:58:14.698,0.0322,-0.0039,-95.3613
 08:58:14.798,0.0161,-0.0024,-95.3613
 08:58:14.928,0.0156,0.0049,-95.3613
 08:58:14.993,0.0249,-0.0073,-95.3613
 08:58:15.088,0.0483,0.0059,-95.3613
 08:58:15.193,0.0293,-0.001,-95.3394
 08:58:15.288,0,0.0005,-95.3284
 08:58:15.383,-0.0073,0.0015,-95.3064
 08:58:15.493,-0.0054,-0.0015,-95.2899
 08:58:15.589,-0.0054,0.0059,-95.2734
 08:58:15.692,-0.0098,-0.0073,-95.2679
 08:58:15.797,-0.0186,0.0034,-95.257
 08:58:15.895,-0.0288,-0.0029,-95.2515
 08:58:15.993,-0.02,-0.0073,-95.2515
 08:58:16.094,-0.0132,0.0088,-95.2515
 08:58:16.184,-0.0142,-0.002,-95.2515
 08:58:16.294,-0.0098,-0.0024,-95.2515
 08:58:16.403,-0.0059,0.0034,-95.2515
 08:58:16.484,-0.0093,-0.002,-95.2515
 08:58:16.579,-0.0151,-0.0029,-95.235
 08:58:16.690,-0.02,-0.0088,-95.2185
 08:58:16.785,-0.0093,0.0039,-95.213
 08:58:16.891,-0.0225,-0.0034,-95.191
 08:58:16.979,-0.022,-0.0039,-95.1801
 08:58:17.079,-0.022,0.0059,-95.1526
 08:58:17.193,-0.0181,-0.002,-95.1416
 08:58:17.292,-0.0186,-0.0073,-95.1251
 08:58:17.406,-0.0122,0.0073,-95.1031
 08:58:17.482,-0.001,-0.001,-95.0922
 08:58:17.576,0,-0.0029,-95.0757
 08:58:17.686,-0.001,0.002,-95.0592
 08:58:17.782,-0.0039,-0.0015,-95.0482
 08:58:17.882,-0.0107,0.002,-95.0427
 08:58:17.977,-0.0127,0.0029,-95.0427
 08:58:18.075,-0.0083,-0.0015,-95.0427
 08:58:18.189,-0.0103,0.0005,-95.0427
 08:58:18.286,-0.0117,0.0044,-95.0427
