StartTime: 2022-08-10 08:58:06.422														
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 08:58:06.422	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:06.520	0.002	-0.0015	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:06.616	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:06.725	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:06.806	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:06.901	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.000	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.114	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.208	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.302	0.002	-0.0015	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.403	0.002	-0.0015	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.511	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.611	0.002	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.701	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.810	0.0024	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:07.907	0.0024	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.010	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.109	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.209	0.002	-0.0015	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.304	0.002	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.402	0.002	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.512	0.0024	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.617	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.87	0	0	0
0x50	 08:58:08.703	0.002	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:08.841	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.87	0	0	0
0x50	 08:58:08.911	0.002	-0.0015	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.004	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.111	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.221	0.002	-0.0015	1	0	0	0	0	0	-95.3613	22.87	0	0	0
0x50	 08:58:09.304	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.436	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.504	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.606	0.002	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.704	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.813	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:09.909	0.002	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:10.034	0.002	-0.002	1	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:10.105	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:10.209	0.002	-0.002	0.9995	0	0	0	0	0	-95.3613	22.97	0	0	0
0x50	 08:58:10.307	0.0015	-0.002	1.0005	0	0	0	0	0	-95.3613	22.92	0	0	0
0x50	 08:58:10.412	0.0024	-0.0015	0.9985	0	0	0	0	-0.0055	-95.3613	22.92	0	0	0
0x50	 08:58:10.505	0.0083	-0.001	1.0005	0	0	0	0	-0.0055	-95.3613	22.92	0	0	0
0x50	 08:58:10.616	0.0029	-0.0039	1.0049	0	0	0	0	-0.0165	-95.3613	22.92	0	0	0
0x50	 08:58:10.706	0	0.001	1.002	-0.1221	0.1221	0	0	-0.022	-95.3613	22.87	0	0	0
0x50	 08:58:10.806	-0.0015	-0.0015	1.0049	0	0.061	0	-0.0055	-0.0165	-95.3613	22.92	0	0	0
0x50	 08:58:10.907	0.0005	-0.0005	0.9976	0.061	0	0	-0.0055	0	-95.3613	22.87	0	0	0
0x50	 08:58:11.007	0.0029	-0.0063	1.002	-0.061	0	0	-0.0055	0	-95.3613	22.92	0	0	0
0x50	 08:58:11.102	0.0034	-0.0005	0.998	0	0	0	-0.0055	0	-95.3613	22.92	0	0	0
0x50	 08:58:11.198	0.001	-0.001	1.0005	0	0	0	-0.0055	0	-95.3613	22.92	0	0	0
0x50	 08:58:11.296	0.0029	-0.0024	1	0	0	0	-0.0055	0	-95.3613	22.92	0	0	0
0x50	 08:58:11.405	0.0093	0.001	1.002	0	0	0	-0.0055	0	-95.3613	22.92	0	0	0
0x50	 08:58:11.505	0.0249	-0.0029	1.0059	0	0.1831	0	-0.0055	-0.0275	-95.3613	22.92	0	0	0
0x50	 08:58:11.601	0.0303	0	1.001	0	0	0	-0.0055	-0.0879	-95.3613	22.92	0	0	0
0x50	 08:58:11.698	0.0337	0	0.9937	0	0	0	0	-0.1648	-95.3613	22.87	0	0	0
0x50	 08:58:11.792	0.0391	-0.001	0.9873	0.1221	-0.4272	0	0	-0.2582	-95.3613	22.87	0	0	0
0x50	 08:58:11.896	0.0269	-0.0024	0.9937	0	0	0	0.011	-0.3571	-95.3613	22.92	0	0	0
0x50	 08:58:11.990	0.0146	0	1.0054	0	0.061	0	0.011	-0.4285	-95.3613	22.92	0	0	0
0x50	 08:58:12.094	0.0122	-0.001	1.0068	0	0.3662	0	0.0165	-0.4724	-95.3613	22.92	0	0	0
0x50	 08:58:12.192	0.0156	0	0.998	0.061	-0.1831	0	0.0275	-0.4779	-95.3613	22.92	0	0	0
0x50	 08:58:12.296	0.0059	-0.0024	1.0137	0.1221	0	0	0.033	-0.4834	-95.3613	22.92	0	0	0
0x50	 08:58:12.393	0.0239	0.0015	0.9917	0.061	0.1831	0	0.0439	-0.5164	-95.3613	22.92	0	0	0
0x50	 08:58:12.502	0.0293	0.0029	0.9819	0.1221	-0.3662	0	0.0604	-0.5548	-95.3613	22.92	0	0	0
0x50	 08:58:12.595	0.0303	0	0.9917	0.061	-0.4272	0	0.0769	-0.5988	-95.3613	22.92	0	0	0
0x50	 08:58:12.696	0.019	-0.0015	1.0195	-0.061	-0.2441	0	0.0824	-0.6262	-95.3613	22.92	0	0	0
0x50	 08:58:12.790	0.0347	0	1.0244	0	0	0	0.0824	-0.6482	-95.3613	22.92	0	0	0
0x50	 08:58:12.894	0.0537	0	1.0264	0	0.061	0	0.0879	-0.6976	-95.3613	22.92	0	0	0
0x50	 08:58:12.989	0.0347	-0.001	1.0273	-0.061	0.061	0	0.0934	-0.7581	-95.3613	22.87	0	0	0
0x50	 08:58:13.104	0.0361	0.0044	1.0015	-0.3662	-0.1831	0	0.0934	-0.8295	-95.3613	22.92	0	0	0
0x50	 08:58:13.192	0.0332	0.0034	1.0103	-0.061	0.4272	0	0.0824	-0.8844	-95.3613	22.92	0	0	0
0x50	 08:58:13.298	0.0352	-0.0015	1	-0.061	0.3662	0	0.0769	-0.9283	-95.3613	22.92	0	0	0
0x50	 08:58:13.393	0.0532	0.0029	0.999	-0.3052	0.1831	0	0.0604	-0.9888	-95.3613	22.92	0	0	0
0x50	 08:58:13.501	0.0542	-0.002	0.9878	-0.1831	-0.3662	0	0.0439	-1.0657	-95.3613	22.92	0	0	0
0x50	 08:58:13.595	0.0342	-0.001	0.9902	0.061	-0.3052	0	0.0385	-1.1646	-95.3613	22.92	0	0	0
0x50	 08:58:13.705	0.0469	0.0034	1.0024	0	-0.1831	0	0.0439	-1.2469	-95.3613	22.92	0	0	0
0x50	 08:58:13.787	0.0278	-0.0015	0.9976	-0.2441	-0.1831	0	0.0385	-1.3184	-95.3613	22.92	0	0	0
0x50	 08:58:13.913	0.0181	-0.0024	1.0054	0	-0.1831	0	0.033	-1.3458	-95.3613	22.92	0	0	0
0x50	 08:58:13.993	0.0229	0.002	1.002	0	-0.3662	0	0.0385	-1.3513	-95.3613	22.92	0	0	0
0x50	 08:58:14.099	0.0264	0.0005	0.9907	-0.4883	0.061	0	0.022	-1.3733	-95.3613	22.92	0	0	0
0x50	 08:58:14.189	0.0059	-0.0039	1.0034	-0.1831	0	0	0	-1.3513	-95.3613	22.92	0	0	0
0x50	 08:58:14.315	0.0127	-0.002	0.9961	0.061	0.2441	0	-0.011	-1.2909	-95.3613	22.92	0	0	0
